State,Year,Abortion Restricted,Inadequate Prenatal Care,No Cancer Screen,Infant Mortality,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,No Postpartum Visit,Unintended Pregnancy,No Preventative,Patients Per Doctor,Region
MN,2022,0,19.799999999999997,48.9,4.7,12.3,2.3,-81.0,7.450000000000003,20.65,28.09999999999999,1776.1989342806396,Midwest
MN,2023,0,19.59999999999999,48.9,4.6,14.1,2.3,-81.0,7.099999999999994,21.0,28.09999999999999,1721.170395869191,Midwest
MO,2018,1,22.200000000000003,19.700000000000003,6.2,23.8,8.7,-75.0,12.5,40.8,27.200000000000003,2277.904328018223,Midwest
MO,2019,1,22.59999999999999,26.59999999999999,6.2,25.4,8.7,-77.0,11.400000000000006,33.4,27.200000000000003,2277.904328018223,Midwest
MO,2020,1,23.5,33.5,6.0,25.4,8.7,-79.0,14.900000000000006,28.2,27.5,2164.5021645021643,Midwest
MO,2021,1,20.5,40.4,6.3,25.4,8.7,-79.5,10.599999999999994,29.5,27.59999999999999,2132.1961620469083,Midwest
MO,2022,1,21.799999999999997,47.3,6.3,25.4,8.7,-80.0,10.700000000000005,31.9,26.0,2364.066193853428,Midwest
MO,2023,1,22.0,47.3,6.5,25.4,8.7,-80.0,10.900000000000006,22.4,26.0,2331.002331002331,Midwest
MS,2018,1,19.09999999999999,13.099999999999994,8.6,39.1,20.7,-73.0,11.700000000000005,44.6,25.200000000000003,3115.264797507788,South
MS,2019,1,19.200000000000003,23.049999999999997,8.6,39.7,20.7,-78.0,11.0,47.1,23.59999999999999,3115.264797507788,South
MS,2020,1,20.09999999999999,33.0,8.8,39.7,20.7,-83.0,13.099999999999994,38.3,23.59999999999999,3095.9752321981427,South
MS,2021,1,21.59999999999999,42.95,8.8,39.7,20.7,-82.5,11.900000000000006,41.2,24.0,3115.264797507788,South
MS,2022,1,19.09999999999999,52.9,9.0,39.7,20.7,-82.0,11.900000000000006,38.900000000000006,24.0,3164.5569620253164,South
MS,2023,1,19.09999999999999,52.9,9.0,39.7,20.7,-82.0,11.900000000000006,36.6,21.799999999999997,3154.5741324921137,South
MT,2018,1,24.59999999999999,21.90000000000001,4.8,30.5,7.3,-86.0,9.700000000000005,29.7,28.59999999999999,1862.19739292365,West
MT,2019,1,23.0,27.40000000000001,4.9,30.5,7.3,-83.5,9.700000000000005,29.7,28.59999999999999,1862.19739292365,West
MT,2020,1,23.09999999999999,32.900000000000006,4.9,30.5,7.3,-81.0,10.200000000000005,23.4,30.59999999999999,1779.3594306049822,West
MT,2021,1,20.90000000000001,38.4,5.0,30.5,7.3,-83.5,8.900000000000006,26.0,28.200000000000003,1766.7844522968198,West
MT,2022,1,20.700000000000003,43.9,4.8,30.5,7.3,-86.0,8.5,23.5,29.90000000000001,1805.0541516245487,West
MT,2023,1,21.200000000000003,43.9,5.1,32.5,7.3,-86.0,7.400000000000006,23.5,29.90000000000001,1811.5942028985503,West
NC,2018,1,22.40000000000001,17.299999999999997,6.8,26.7,2.7,-77.0,7.200000000000003,26.6,23.200000000000003,2197.802197802198,South
NC,2019,1,22.799999999999997,22.924999999999997,6.8,26.7,2.7,-80.5,8.400000000000006,30.9,24.09999999999999,2197.802197802198,South
NC,2020,1,24.0,28.549999999999997,6.8,26.7,2.7,-84.0,8.400000000000006,30.9,24.09999999999999,2127.659574468085,South
